,Restaurant Names,User Name,Follower Count,Chicago,New York,Houston,Philadelphia,Los Angeles,Atlanta,Miami
0,Red Lobster,redlobster,296664,0.39656352941176476,0.3948593023255814,0.39319425287356324,0.3915670454545454,0.389976404494382,0.38842111111111105,0.38689999999999997
1,SUBWAY®Restaurants,SUBWAY,2467427,0.21368315789473682,0.21137958115183242,0.20909999999999998,0.20684404145077717,0.20461134020618557,0.20240153846153847,0.2002142857142857
3,In-N-Out Burger,innoutburger,44775,0.21866711111111106,0.22040929203539822,0.2221361233480176,0.22384780701754387,0.22554454148471614,0.22722652173913044,0.22889393939393937
6,Little Caesars Pizza,littlecaesars,232112,0.1989300395256917,0.19814685039370078,0.1973698039215686,0.19659882812499999,0.1958338521400778,0.19507480620155038,0.19432162162162162
8,Chili's Grill & Bar,Chilis,383907,0.19874615384615382,0.19818153409090905,0.19762011331444757,0.1970618644067796,0.19650676056338023,0.19595477528089883,0.19540588235294115
9,Fatburger,Fatburger,14993,0.21051155913978495,0.21074075067024126,0.2109687165775401,0.21119546666666664,0.21142101063829785,0.21164535809018564,0.2118685185185185
10,Wingstop,wingstop,208253,0.1630706498951782,0.1627294979079498,0.16238977035490607,0.16205145833333334,0.161714553014553,0.16137904564315353,0.1610449275362319
11,Chuck E. Cheese's,ChuckECheeses,23749,0.16342356435643562,0.16400454545454546,0.16458323471400393,0.1651596456692913,0.1657337917485265,0.1663056862745098,0.16687534246575342
12,TGI Fridays,TGIFridays,208950,0.15139837545126356,0.1511255855855856,0.1508537769784173,0.1505829443447038,0.15031308243727598,0.15004418604651162,0.14977625
14,Benihana,Benihana,13086,0.1364532625189681,0.13624651515151515,0.13604039334341905,0.1358348942598187,0.13563001508295625,0.13542575301204818,0.1352221052631579
15,Olive Garden,olivegarden,385774,0.11947118402282454,0.11948333333333332,0.11949544807965862,0.1195075284090909,0.11951957446808509,0.11953158640226627,0.11954356435643564
16,Taco Bell,tacobell,1888502,0.16413528662420385,0.16491590330788802,0.16569453621346888,0.16647119289340104,0.16724588086185047,0.16801860759493675,0.16878938053097348
17,Jack Box,JackBox,91621,0.18113741573033712,0.18160684624017961,0.18207522421524666,0.1825425531914894,0.18300883668903808,0.18347407821229056,0.18393828124999997
18,Wendy's,Wendys,2288957,0.16735135678391957,0.1671833333333333,0.16701564694082244,0.16684829659318634,0.16668128128128126,0.16651459999999998,0.1663482517482517
19,McDonald's,McDonalds,3540391,0.13351609090909092,0.1333948228882834,0.13327377495462797,0.1331529465095195,0.13303233695652175,0.13291194570135748,0.13279177215189875
20,Popeyes Chicken,PopeyesChicken,92760,0.11902854700854702,0.11863620836891546,0.11824453924914677,0.11785353793691392,0.11746320272572403,0.11707353191489361,0.11668452380952381
21,Panera Bread,askpanera,563,0.11597502124044183,0.11526672325976231,0.11455962680237491,0.11385372881355932,0.11314902624894159,0.11244551607445008,0.1117431952662722
22,Starbucks,Starbucks,11942459,0.11047393744987971,0.11052139423076923,0.11056877502001602,0.11061608,0.11066330935251797,0.11071046325878595,0.11075754189944134
23,Burger King,BurgerKing,1591887,0.1074833836858006,0.1071788679245283,0.10687481146304677,0.10657121326299923,0.10626807228915662,0.10596538750940555,0.10566315789473683
24,Applebee's,Applebees,627246,0.10576368089573127,0.10554825174825172,0.10533312368972746,0.10511829608938546,0.10490376831821352,0.10468953974895397,0.10447560975609756
